iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.9247245872	0.6045962338	0.9247245872	0.9247245872	0.8857204999	0.8857204999	0.9673221298	0.9673221298
1	0.9276603833	0.5382287609	0.9276603833	0.9276603833	0.8943595294	0.8943595294	0.9635370126	0.9635370126
2	0.9318890924	0.478844588	0.9318890924	0.9318890924	0.8989894646	0.8989894646	0.9672881964	0.9672881964
3	0.9338517707	0.4327738472	0.9338517707	0.9338517707	0.8993871399	0.8993871399	0.9710630308	0.9710630308
4	0.9358472939	0.3927859998	0.9358472939	0.9358472939	0.9037617591	0.9037617591	0.9702949019	0.9702949019
5	0.9364055373	0.3623832883	0.9364055373	0.9364055373	0.9044471016	0.9044471016	0.9707051876	0.9707051876
6	0.9356321736	0.334992709	0.9356321736	0.9356321736	0.9044623645	0.9044623645	0.9690270264	0.9690270264
7	0.9368203858	0.3087841056	0.9368203858	0.9368203858	0.9042765122	0.9042765122	0.9717941414	0.9717941414
8	0.9388076914	0.2877399844	0.9388076914	0.9388076914	0.9050056443	0.9050056443	0.9752327266	0.9752327266
9	0.939243296	0.2693990463	0.939243296	0.939243296	0.9036863355	0.9036863355	0.9777129501	0.9777129501
10	0.9412215501	0.2521550192	0.9412215501	0.9412215501	0.9053698722	0.9053698722	0.9800296763	0.9800296763
11	0.9420350848	0.2377907454	0.9420350848	0.9420350848	0.9064481693	0.9064481693	0.9805304511	0.9805304511
12	0.9457938044	0.2230574416	0.9457938044	0.9457938044	0.9113381599	0.9113381599	0.9829572038	0.9829572038
13	0.9460277404	0.2105594081	0.9460277404	0.9460277404	0.9110924664	0.9110924664	0.9837489833	0.9837489833
14	0.9461253743	0.2017171021	0.9461253743	0.9461253743	0.9122153217	0.9122153217	0.9826538597	0.9826538597
15	0.9474131649	0.1903960726	0.9474131649	0.9474131649	0.9141169925	0.9141169925	0.9832266145	0.9832266145
16	0.9473809997	0.1834390052	0.9473809997	0.9473809997	0.9148146871	0.9148146871	0.9823515439	0.9823515439
17	0.9483420942	0.1765326902	0.9483420942	0.9483420942	0.9168890843	0.9168890843	0.9820296907	0.9820296907
18	0.9488246963	0.1716196455	0.9488246963	0.9488246963	0.9180631643	0.9180631643	0.9817191486	0.9817191486
19	0.9497627249	0.1658416443	0.9497627249	0.9497627249	0.9195947091	0.9195947091	0.9819772482	0.9819772482
20	0.9504245429	0.162215165	0.9504245429	0.9504245429	0.9209811262	0.9209811262	0.9818127226	0.9818127226
21	0.9520156992	0.1555798764	0.9520156992	0.9520156992	0.9231613325	0.9231613325	0.9827320094	0.9827320094
22	0.9525154565	0.1528922384	0.9525154565	0.9525154565	0.9244173726	0.9244173726	0.9823751945	0.9823751945
23	0.9535897476	0.1496688176	0.9535897476	0.9535897476	0.9259845891	0.9259845891	0.9828913936	0.9828913936
24	0.9549532179	0.1476925944	0.9549532179	0.9549532179	0.9285364584	0.9285364584	0.9829171007	0.9829171007
25	0.9562945924	0.1460617942	0.9562945924	0.9562945924	0.9304202099	0.9304202099	0.9836492396	0.9836492396
26	0.9562972333	0.1425317622	0.9562972333	0.9562972333	0.9313175434	0.9313175434	0.9826538597	0.9826538597
27	0.9575307547	0.1400101611	0.9575307547	0.9575307547	0.93278654	0.93278654	0.9836235325	0.9836235325
28	0.9587175276	0.134369405	0.9587175276	0.9587175276	0.934123576	0.934123576	0.9846415347	0.9846415347
29	0.9592663801	0.1318039682	0.9592663801	0.9592663801	0.9352543846	0.9352543846	0.9845438476	0.9845438476
30	0.9601679609	0.1283374604	0.9601679609	0.9601679609	0.9370099855	0.9370099855	0.9844996314	0.9844996314
31	0.9607352367	0.1273408532	0.9607352367	0.9607352367	0.9385536887	0.9385536887	0.9839906303	0.9839906303
32	0.9613956718	0.1262968877	0.9613956718	0.9613956718	0.9398798304	0.9398798304	0.9839196786	0.9839196786
33	0.9622672633	0.1249587975	0.9622672633	0.9622672633	0.9417036695	0.9417036695	0.9837489833	0.9837489833
34	0.9631823659	0.1218437659	0.9631823659	0.9631823659	0.9432954679	0.9432954679	0.9839258483	0.9839258483
