iter	Passed	Remaining
0	3	3951
1	8	4033
2	12	4015
3	16	3993
4	19	3829
5	22	3668
6	27	3960
7	32	4066
8	38	4247
9	43	4304
10	46	4203
11	49	4088
12	52	4016
13	58	4102
14	64	4241
15	71	4372
16	74	4313
17	78	4291
18	81	4201
19	86	4223
20	89	4189
21	94	4204
22	98	4181
23	105	4280
24	109	4264
25	113	4257
26	119	4294
27	122	4241
28	126	4249
29	130	4226
30	135	4225
31	138	4187
32	141	4153
33	144	4102
34	148	4085
35	151	4058
36	154	4029
37	158	4010
38	164	4051
39	168	4044
40	173	4047
41	176	4016
42	181	4030
43	185	4029
44	188	4006
45	191	3969
46	195	3972
47	199	3952
48	203	3945
49	209	3973
50	215	4000
51	220	4024
52	226	4039
53	233	4091
54	237	4077
55	244	4114
56	249	4128
57	256	4162
58	265	4227
59	269	4227
60	274	4227
61	278	4209
62	280	4175
63	283	4146
64	287	4130
65	293	4152
66	298	4163
67	305	4185
68	308	4166
69	313	4162
70	317	4154
71	324	4178
72	329	4186
73	335	4194
74	341	4212
75	348	4238
76	353	4235
77	357	4225
78	361	4220
79	368	4241
80	375	4254
81	380	4258
82	385	4257
83	389	4246
84	393	4232
85	399	4250
86	405	4251
87	412	4271
88	443	4539
89	450	4550
90	453	4533
91	459	4536
92	465	4538
93	471	4543
94	479	4567
95	484	4561
96	487	4535
97	490	4512
98	494	4496
99	496	4471
100	500	4454
101	505	4450
102	511	4450
103	516	4446
104	522	4450
105	528	4459
106	533	4448
107	537	4435
108	543	4443
109	546	4424
110	551	4416
111	556	4413
112	560	4401
113	564	4385
114	567	4366
115	572	4364
116	576	4351
117	580	4336
118	583	4320
119	589	4319
120	594	4316
121	597	4296
122	604	4307
123	609	4302
124	612	4289
125	616	4275
126	622	4278
127	628	4280
128	632	4273
129	636	4261
130	639	4243
131	642	4223
132	644	4203
133	650	4203
134	654	4192
135	658	4184
136	664	4183
137	668	4177
138	671	4157
139	674	4145
140	678	4130
141	682	4123
142	685	4110
143	690	4101
144	695	4101
145	700	4094
146	705	4095
147	709	4082
148	716	4089
149	720	4084
150	723	4070
151	729	4067
152	732	4055
153	736	4045
154	740	4038
155	746	4037
156	751	4034
157	757	4035
158	760	4022
159	766	4025
160	772	4023
161	777	4022
162	783	4022
163	788	4021
164	792	4009
165	794	3992
166	798	3982
167	801	3968
168	806	3967
169	811	3964
170	817	3961
171	823	3963
172	827	3957
173	832	3950
174	838	3955
175	843	3950
176	848	3944
177	854	3947
178	859	3943
179	863	3934
180	867	3925
181	870	3912
182	873	3900
183	876	3886
184	879	3875
185	891	3901
186	894	3890
187	898	3879
188	902	3873
189	908	3871
190	955	4047
191	958	4031
192	960	4016
193	963	4002
194	966	3990
195	969	3975
196	971	3960
197	974	3946
198	976	3932
199	981	3927
200	985	3919
201	989	3909
202	992	3896
203	996	3886
204	998	3872
205	1001	3858
206	1003	3844
207	1006	3831
208	1009	3819
209	1014	3816
210	1017	3803
211	1019	3790
212	1023	3780
213	1026	3771
214	1029	3758
215	1031	3745
216	1034	3732
217	1037	3720
218	1041	3714
219	1044	3702
220	1046	3690
221	1050	3681
222	1053	3671
223	1058	3666
224	1061	3654
225	1063	3642
226	1066	3631
227	1069	3620
228	1073	3613
229	1076	3602
230	1078	3590
231	1081	3578
232	1083	3567
233	1088	3562
234	1091	3552
