iter	F1	Logloss	Precision	Recall
0	0.8875255624	0.6652473812	0.8911704312	0.883910387
1	0.896969697	0.6344646486	0.8897795591	0.9042769857
2	0.8980827447	0.6014659654	0.89	0.9063136456
3	0.9017223911	0.5720623579	0.8971774194	0.9063136456
4	0.9039433771	0.5482019177	0.8975903614	0.9103869654
5	0.9050505051	0.5226853729	0.8977955912	0.9124236253
6	0.8996960486	0.5025833175	0.8951612903	0.9042769857
7	0.8994923858	0.4823765677	0.8967611336	0.9022403259
8	0.896969697	0.4647904334	0.8897795591	0.9042769857
9	0.9041372351	0.4459547687	0.896	0.9124236253
10	0.9023162135	0.4329049554	0.8924302789	0.9124236253
11	0.9012096774	0.4186395555	0.8922155689	0.9103869654
12	0.9036144578	0.4050100996	0.8910891089	0.916496945
13	0.9094567404	0.391366861	0.8986083499	0.9205702648
14	0.9083585096	0.3787436899	0.8984063745	0.9185336049
15	0.9096385542	0.3683911852	0.897029703	0.9226069246
16	0.9052419355	0.3591037818	0.8962075848	0.9144602851
17	0.9107505071	0.3510458225	0.9070707071	0.9144602851
18	0.9138804458	0.3430462076	0.9092741935	0.9185336049
19	0.9120323559	0.3335351282	0.90562249	0.9185336049
20	0.9131313131	0.3275814718	0.9058116232	0.9205702648
21	0.9133064516	0.3211420065	0.9041916168	0.9226069246
22	0.9142280525	0.3139989242	0.906	0.9226069246
23	0.9151515152	0.3096985216	0.9078156313	0.9226069246
24	0.9133064516	0.3037786629	0.9041916168	0.9226069246
25	0.9171717172	0.2973293774	0.9098196393	0.9246435845
26	0.9171717172	0.2924478007	0.9098196393	0.9246435845
27	0.9188640974	0.287639838	0.9151515152	0.9226069246
28	0.9179331307	0.2832093048	0.9133064516	0.9226069246
29	0.91809909	0.2779318744	0.9116465863	0.9246435845
30	0.9159067882	0.2735130822	0.9112903226	0.9205702648
31	0.9190283401	0.2695183257	0.9134808853	0.9246435845
32	0.9201213347	0.2655142381	0.9136546185	0.9266802444
33	0.9190283401	0.262270053	0.9134808853	0.9246435845
34	0.9190283401	0.2591013796	0.9134808853	0.9246435845
35	0.9199594732	0.2546334871	0.9153225806	0.9246435845
36	0.9210526316	0.2515103244	0.9154929577	0.9266802444
37	0.9207317073	0.2483724223	0.9188640974	0.9226069246
38	0.9227642276	0.2462224483	0.9208924949	0.9246435845
39	0.9227642276	0.2426972693	0.9208924949	0.9246435845
40	0.9246435845	0.2405952903	0.9246435845	0.9246435845
41	0.9255861366	0.2381047342	0.9265306122	0.9246435845
42	0.9276248726	0.2359104775	0.9285714286	0.9266802444
43	0.9276248726	0.2340548186	0.9285714286	0.9266802444
44	0.9287169043	0.2318098613	0.9287169043	0.9287169043
45	0.9285714286	0.2302585153	0.9304703476	0.9266802444
46	0.9276248726	0.2285793439	0.9285714286	0.9266802444
47	0.9285714286	0.2266859293	0.9304703476	0.9266802444
48	0.9276248726	0.2244836531	0.9285714286	0.9266802444
49	0.9285714286	0.2225681938	0.9304703476	0.9266802444
50	0.9288617886	0.220681512	0.9269776876	0.9307535642
51	0.9287169043	0.2183071499	0.9287169043	0.9287169043
52	0.932790224	0.2164648441	0.932790224	0.932790224
53	0.932790224	0.2143983926	0.932790224	0.932790224
54	0.9307535642	0.213324469	0.9307535642	0.9307535642
55	0.9307535642	0.2111844762	0.9307535642	0.9307535642
56	0.9318413021	0.2095036404	0.9308943089	0.932790224
57	0.9337410805	0.2075842879	0.9346938776	0.932790224
58	0.9348268839	0.205755873	0.9348268839	0.9348268839
59	0.9348268839	0.2043436902	0.9348268839	0.9348268839
60	0.9359104781	0.2028071107	0.9349593496	0.9368635438
61	0.9349593496	0.2007159706	0.9330628803	0.9368635438
62	0.9349593496	0.1990263163	0.9330628803	0.9368635438
63	0.9349593496	0.1981564715	0.9330628803	0.9368635438
64	0.9349593496	0.1968997519	0.9330628803	0.9368635438
65	0.9338758901	0.1957006638	0.9329268293	0.9348268839
66	0.9349593496	0.19462643	0.9330628803	0.9368635438
67	0.9338758901	0.1933418204	0.9329268293	0.9348268839
68	0.9359104781	0.192085153	0.9349593496	0.9368635438
69	0.9359104781	0.1910168143	0.9349593496	0.9368635438
70	0.9369918699	0.1897868049	0.9350912779	0.9389002037
71	0.9359104781	0.1884179806	0.9349593496	0.9368635438
72	0.9349593496	0.1874600221	0.9330628803	0.9368635438
73	0.9349593496	0.1860485963	0.9330628803	0.9368635438
74	0.9349593496	0.1846499826	0.9330628803	0.9368635438
75	0.9349593496	0.1838637068	0.9330628803	0.9368635438
76	0.9349593496	0.1825387244	0.9330628803	0.9368635438
77	0.9350912779	0.1815936666	0.9313131313	0.9389002037
78	0.9350912779	0.1806418994	0.9313131313	0.9389002037
79	0.9360406091	0.1800831846	0.9331983806	0.9389002037
80	0.9350912779	0.1792218611	0.9313131313	0.9389002037
81	0.9369918699	0.178244258	0.9350912779	0.9389002037
82	0.9369918699	0.1774528466	0.9350912779	0.9389002037
83	0.938071066	0.1767392201	0.9352226721	0.9409368635
84	0.938071066	0.1757524885	0.9352226721	0.9409368635
85	0.9369918699	0.1748394269	0.9350912779	0.9389002037
86	0.939148073	0.173917814	0.9353535354	0.9429735234
87	0.939148073	0.1732201246	0.9353535354	0.9429735234
88	0.939148073	0.1727456872	0.9353535354	0.9429735234
89	0.9401015228	0.1717627091	0.9372469636	0.9429735234
90	0.9401015228	0.1710887597	0.9372469636	0.9429735234
91	0.9411764706	0.1703844189	0.9373737374	0.9450101833
92	0.9411764706	0.1696505942	0.9373737374	0.9450101833
93	0.9411764706	0.1689865451	0.9373737374	0.9450101833
94	0.9411764706	0.1682505274	0.9373737374	0.9450101833
95	0.9411764706	0.1676013121	0.9373737374	0.9450101833
96	0.9411764706	0.1668371368	0.9373737374	0.9450101833
97	0.9411764706	0.1662180606	0.9373737374	0.9450101833
98	0.9421319797	0.1656782146	0.9392712551	0.9450101833
99	0.9441624365	0.1648454733	0.9412955466	0.9470468432
100	0.9410569106	0.1640383679	0.939148073	0.9429735234
101	0.9442755826	0.163278456	0.939516129	0.9490835031
102	0.9442755826	0.162904538	0.939516129	0.9490835031
103	0.9452332657	0.1624350976	0.9414141414	0.9490835031
104	0.9452332657	0.1617149578	0.9414141414	0.9490835031
105	0.9452332657	0.160985406	0.9414141414	0.9490835031
106	0.9461928934	0.1602213608	0.9433198381	0.9490835031
107	0.9461928934	0.159462634	0.9433198381	0.9490835031
108	0.9460834181	0.1590182809	0.9451219512	0.9470468432
109	0.9460834181	0.158537463	0.9451219512	0.9470468432
110	0.9471544715	0.1580248988	0.9452332657	0.9490835031
111	0.9471544715	0.1571627633	0.9452332657	0.9490835031
112	0.9471544715	0.1565151218	0.9452332657	0.9490835031
