iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.9239560716	0.608713632	0.9239560716	0.9239560716	0.8967544236	0.8967544236	0.9528595821	0.9528595821
1	0.9262654726	0.5352551175	0.9262654726	0.9262654726	0.8946784452	0.8946784452	0.9601645152	0.9601645152
2	0.9312065142	0.4792852493	0.9312065142	0.9312065142	0.8985978001	0.8985978001	0.9662709828	0.9662709828
3	0.9306604841	0.4330108656	0.9306604841	0.9306604841	0.8956555539	0.8956555539	0.9685129001	0.9685129001
4	0.9327486665	0.3936826965	0.9327486665	0.9327486665	0.9021452454	0.9021452454	0.9655013118	0.9655013118
5	0.9362293844	0.3591980016	0.9362293844	0.9362293844	0.9029685436	0.9029685436	0.9720342604	0.9720342604
6	0.9372436923	0.3316555758	0.9372436923	0.9372436923	0.9037728607	0.9037728607	0.9732890246	0.9732890246
7	0.9377187098	0.3090963552	0.9377187098	0.9377187098	0.9035149933	0.9035149933	0.9746139691	0.9746139691
8	0.9382156293	0.2866583595	0.9382156293	0.9382156293	0.9011869752	0.9011869752	0.9784175935	0.9784175935
9	0.9408490291	0.2673473182	0.9408490291	0.9408490291	0.9051737594	0.9051737594	0.9794517907	0.9794517907
10	0.9427753516	0.2396805825	0.9427753516	0.9427753516	0.9065363939	0.9065363939	0.9820322707	0.9820322707
11	0.9439673196	0.228797317	0.9439673196	0.9439673196	0.9088210983	0.9088210983	0.9819412675	0.9819412675
12	0.9449195282	0.2183395505	0.9449195282	0.9449195282	0.9109783045	0.9109783045	0.981487794	0.981487794
13	0.9469069795	0.2080308796	0.9469069795	0.9469069795	0.9144249625	0.9144249625	0.9817816263	0.9817816263
14	0.9470246314	0.1996149376	0.9470246314	0.9470246314	0.9137366585	0.9137366585	0.9828297053	0.9828297053
15	0.9475288366	0.1919153639	0.9475288366	0.9475288366	0.9147413585	0.9147413585	0.9827541264	0.9827541264
16	0.9480554669	0.1848940596	0.9480554669	0.9480554669	0.9161571506	0.9161571506	0.9822551513	0.9822551513
17	0.9495772433	0.1775078147	0.9495772433	0.9495772433	0.9183376165	0.9183376165	0.9830171101	0.9830171101
18	0.9497636813	0.1712773349	0.9497636813	0.9497636813	0.9193049566	0.9193049566	0.9823099075	0.9823099075
19	0.9500721608	0.1640591911	0.9500721608	0.9500721608	0.9198195908	0.9198195908	0.9823824015	0.9823824015
20	0.951064646	0.1580122502	0.951064646	0.951064646	0.921403149	0.921403149	0.9826993702	0.9826993702
21	0.9515570107	0.1538226127	0.9515570107	0.9515570107	0.922217832	0.922217832	0.9828243068	0.9828243068
22	0.9539338625	0.1471057544	0.9539338625	0.9539338625	0.9271772996	0.9271772996	0.9822806014	0.9822806014
23	0.9552376986	0.1445929614	0.9552376986	0.9552376986	0.9285345037	0.9285345037	0.9835222549	0.9835222549
24	0.9558855744	0.1402519876	0.9558855744	0.9558855744	0.9305245385	0.9305245385	0.9826677505	0.9826677505
25	0.9574899218	0.1380204552	0.9574899218	0.9574899218	0.9322721272	0.9322721272	0.9841099195	0.9841099195
26	0.9580917626	0.1359712241	0.9580917626	0.9580917626	0.9338479606	0.9338479606	0.9836279111	0.9836279111
27	0.959411463	0.1324832606	0.959411463	0.959411463	0.9354415884	0.9354415884	0.9846420567	0.9846420567
28	0.9603776166	0.1301206078	0.9603776166	0.9603776166	0.9364474531	0.9364474531	0.9855628855	0.9855628855
29	0.9611901161	0.1287406752	0.9611901161	0.9611901161	0.9380747701	0.9380747701	0.9854734248	0.9854734248
30	0.9618143338	0.1271852256	0.9618143338	0.9618143338	0.9393388907	0.9393388907	0.9853916761	0.9853916761
